DOID,Old,New
 DOID:3169,['name: papillary epithelial neoplasm'],['name: obsolete papillary epithelial neoplasm']
 DOID:0080098, ,['is_a: DOID:0050737 ! autosomal recessive disease']
 DOID:5134,['is_a: DOID:5545 ! anal neuroendocrine tumor'],['is_a: DOID:4551 ! anus benign neoplasm']
 DOID:10911,['name: echovirus infectious disease'],['name: obsolete echovirus infectious disease']
 DOID:0050399,['name: Bordetella pertussis whooping cough'],['name: obsolete Bordetella pertussis whooping cough']
 DOID:647,['name: Polyomavirus infectious disease'],['name: obsolete Polyomavirus infectious disease']
 DOID:0060377,"['def: ""An orofaciodigital syndrome characterized by oral (tongue nodules, bifid tongue, midline cleft of the lip), facial (hypertelorism, alar hypoplasia), and digital abnormalities (clinodactyly)."" [url:https\\://www.omim.org/entry/608518]']","['def: ""An orofaciodigital syndrome that is characterized by oral, facial and digital abnormalities, and has_material_basis_in autosomal dominant inheritance."" [url:https\\://omim.org/entry/608518]']"
 DOID:13149,['name: tuberculous lung fibrosis'],['name: obsolete tuberculous lung fibrosis']
 DOID:11287,['name: conditions involving the integument and temperature regulation of fetus and newborn'],['name: obsolete conditions involving the integument and temperature regulation of fetus and newborn']
 DOID:2038,['name: urogenital abnormality'],['name: obsolete urogenital abnormality']
 DOID:8493,['name: abnormality of forces of labor'],['name: obsolete abnormality of forces of labor']
 DOID:13605,['name: acute schizophrenic episode chronic state'],['name: obsolete acute schizophrenic episode chronic state']
 DOID:0080096, ,['is_a: DOID:0050736 ! autosomal dominant disease']
 DOID:3838,['name: skin lymphoproliferative disease'],['name: obsolete skin lymphoproliferative disease']
 DOID:13063,['name: moderate recurrent major depression'],['name: obsolete moderate recurrent major depression']
 DOID:8664,['name: nodular lymphoma involving intrapelvic lymph nodes'],['name: obsolete nodular lymphoma involving intrapelvic lymph nodes']
 DOID:12003,"['synonym: ""squamous cell carcinoma of trachea"" RELATED []', 'synonym: ""squamous cell carcinoma of trachea"" EXACT []']", 
 DOID:8775,['name: ulcerative proctosigmoiditis'],['name: obsolete ulcerative proctosigmoiditis']
 DOID:10288,['name: metastasis to prostate'],['name: obsolete metastasis to prostate']
 DOID:13049,['name: Ancylostoma duodenale ancylostomiasis'],['name: obsolete Ancylostoma duodenale ancylostomiasis']
 DOID:10277,['name: Pseudomonas intestinal infectious disease'],['name: obsolete Pseudomonas intestinal infectious disease']
 DOID:13338,['name: Toxoplasma myocarditis'],['name: obsolete Toxoplasma myocarditis']
 DOID:637,['name: metabolic brain disease'],['name: obsolete metabolic brain disease']
 DOID:11027,['name: chronic glomerulonephritis with lesion of membranous glomerulonephritis'],['name: obsolete chronic glomerulonephritis with lesion of membranous glomerulonephritis']
 DOID:0060395, ,"['def: ""A chromosomal deletion syndrome that is characterized by dysmorphic facial features, intellectual disability and seizure, has_material_basis_in autosomal dominant inheritance of mutation in the SIN3A gene causing partial deletion of the long arm of chromosome 15."" [url:https\\://www.omim.org/entry/613406]']"
 DOID:2989,['name: Atypical small acinar proliferation of the prostate gland'],['name: obsolete Atypical small acinar proliferation of the prostate gland']
 DOID:0050510,['name: AIDS-related cystoisosporiasis'],['name: obsolete AIDS-related cystoisosporiasis']
 DOID:8281,['name: recurrent malignant peripheral nerve sheath neoplasm'],['name: obsolete recurrent malignant peripheral nerve sheath neoplasm']
 DOID:196,['name: acinar cell tumor'],['name: obsolete acinar cell tumor']
 DOID:6013,['name: mediastinum embryonal carcinoma'],['name: obsolete mediastinum embryonal carcinoma']
 DOID:7473,['name: recurrent malignant pleural mesothelioma'],['name: obsolete recurrent malignant pleural mesothelioma']
 DOID:0080316,"['synonym: ""vacuolating megalencephalic leukoencephalopathy with subcortical cysts"" EXACT []']", 
 DOID:0110307, ,"['alt_id: DOID:0110325', 'synonym: ""hypertrophic cardiomyopathy 19"" EXACT []']"
 DOID:10848,['name: intrauterine hypoxia and birth asphyxia'],['name: obsolete intrauterine hypoxia and birth asphyxia']
 DOID:1371,['is_a: DOID:746 ! adenomatoid tumor'],['is_a: DOID:657 ! adenoma']
 DOID:13408,['name: metastasis to pleura'],['name: obsolete metastasis to pleura']
 DOID:14026, ,"['def: ""A nutritional deficiency disease that is characterized by a decrease in red blood cells due to lack of folate, has_material_basis in insufficient folic acid in diet, hemolytic anemia, alcoholism, and/or certain medicines."" [url:https\\://medlineplus.gov/ency/article/000551.htm]']"
 DOID:0050224,['name: Helicobacter heilmannii infectious disease'],['name: obsolete Helicobacter heilmannii infectious disease']
 DOID:6079,['name: drop secondary malignant neoplasm to the spinal cord'],['name: obsolete drop secondary malignant neoplasm to the spinal cord']
 DOID:9443,['name: cervix blue nevus'],['name: obsolete cervix blue nevus']
 DOID:6573,['name: recurrent adult brain tumor'],['name: obsolete recurrent adult brain tumor']
 DOID:4582,['name: metastatic meningioma'],['name: obsolete metastatic meningioma']
 DOID:744,['name: Muscle calcification and ossification'],['name: obsolete Muscle calcification and ossification']
 DOID:9115,['name: Rubella virus arthritis'],['name: obsolete Rubella virus arthritis']
 DOID:0050123,['name: tuberculous encephalitis'],['name: obsolete tuberculous encephalitis']
 DOID:12092,['name: Galactorrhea associated with childbirth'],['name: obsolete Galactorrhea associated with childbirth']
 DOID:0060279, ,"['def: ""A pontocerebellar hypoplasia that is characterized by severe developmental delays, progressive microcephaly, spasticity and seizure, has_material_basis_in autosomal recessive inheritance of mutation in the CLP1 gene."" [url:https\\://www.omim.org/entry/615803]']"
 DOID:13192,['name: pulmonary congestion and hypostasis'],['name: obsolete pulmonary congestion and hypostasis']
 DOID:1055,"['name: glaucoma associated with congenital anomalies, dystrophies and systemic syndromes']","['name: obsolete glaucoma associated with congenital anomalies, dystrophies and systemic syndromes']"
 DOID:4966,['name: adrenocortical hyperplasia'],['name: obsolete adrenocortical hyperplasia']
 DOID:1801,['name: secondary malignant neoplasm to the pancreas'],['name: obsolete secondary malignant neoplasm to the pancreas']
 DOID:2434,['name: intraepidermal nevus'],['name: obsolete intraepidermal nevus']
 DOID:6714,['name: circumscribed storiform collagenoma'],['name: obsolete circumscribed storiform collagenoma']
 DOID:0060295, ,"['def: ""A complement deficiency that is characterized by recurrent bacterial infections, has_material_basis_in autosomal recessive inheritance of mutation in the C2 gene."" [url:https\\://rarediseases.info.nih.gov/diseases/1452/complement-component-2-deficiency]']"
 DOID:14056,['name: rheumatic endocarditis'],['name: obsolete rheumatic endocarditis']
 DOID:2589,['name: nephrotic syndrome with lesion of membranous glomerulonephritis'],['name: obsolete nephrotic syndrome with lesion of membranous glomerulonephritis']
 DOID:13285,['name: enteroinvasive Escherichia coli infectious disease'],['name: obsolete enteroinvasive Escherichia coli infectious disease']
 DOID:8079,['name: monomorphic T-cell PTLD'],['name: obsolete monomorphic T-cell PTLD']
 DOID:10521,['name: pinna disease'],['name: obsolete pinna disease']
 DOID:2918,['name: paraproteinemia'],['name: obsolete paraproteinemia']
