DOID,Old,New
DOID:0111156,[],['613958']
DOID:0000666,['175100'],['614920']
DOID:0110325,['613875'],[]
DOID:0110302,['607801'],[]
DOID:0110466,['616958'],[]
DOID:2481,"['613402', '613720', '609304', '613722', '613477', '612164', '617830', '607208', '300607', '613721']",[]
DOID:0110300,['159000'],[]
DOID:0050571,"['300896', '614727', '266265', '606056', '603585', '608779', '607091', '613612', '611209', '614576', '212066', '613489', '611182']",['PS212066']
DOID:12129,['607499'],[]
DOID:14450,"['233300', '400045', '614324', '278850', '611812', '300833']",['PS233300']
DOID:0060671,[],['603285']
DOID:0050566,"['300066', '300030', '304400', '300614', '300914', 'PS304500']",[]
DOID:0080360,['606501'],['616501']
DOID:0060610,['602715'],[]
DOID:0110286,['615325'],[]
DOID:0070175,['613958'],[]
DOID:0050424,"['175100', '608456']",[]
DOID:0050657,['153480'],[]
DOID:0050580,"['153100', '153200', '613480', '611944', '615907', '247440']",['PS153100']
DOID:3145,[],['617347']
DOID:6612,['266265'],[]
DOID:0050709,"['300672', '614959', '615338', '612164', '613402', '308350', '614558', '300607', '613721', '613720', '615473', '300088', '615476', '609304', '615006', '613722', '613477']",[]
DOID:0060651,"['153650', '153640']",[]
DOID:3321,[],['309152']
DOID:0110273,['PS159000'],['PS603511']
DOID:14743,['190351'],[]
DOID:0110301,['159001'],[]
DOID:11720,"['160500', '160300', '254130', '613318', '613319']",[]
DOID:6457,"['158350', '615109', '615108', '615107', '615106', '612359']",['PS158350']
DOID:0060171,['607208'],[]
DOID:3322,"['230650', '230500', '230600']",[]
DOID:0050570,"['610768', '615597', '607143', '601110', '612015', '609180', '603147', '614507', '612937', '613661', '608776', '615596', '212065', '300884', '300934', '608104', '612379', '616457', '608799', '614921', '615042', '608093', '602579', '607906', '608540']",['PS212065']
